Command: /home/users5/ec385912/ECE527LSP22/ece527l-lab10/fifo/sim/netlist_sim/./simv -l sim_netlist.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  May  7 21:28 2022
Doing SDF annotation ...... Done
VCD+ Writer N-2017.12-SP2-2_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
WR: 1, OE: 0 | DOUT: d6, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: d7, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: df, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: d8, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: d9, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: db, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: da, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: db, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: df, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: dc, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: dd, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: df, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: de, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: df, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: ff, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: e0, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: e1, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: e3, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: e2, EMPTY: 0, FULL: 0
